Exp,x1,p1,t1,x2,p2,t2,N,k
Ericson15,50,1,0.5,100,1,1,4,3
Ericson15,50,1,0.5,100,1,1.25,4,2
Ericson15,50,1,0,150,1,0.25,5,3
Ericson15,50,1,0,150,1,0.5,4,3
Ericson15,50,1,0,150,1,0.75,7,4
Ericson15,50,1,0.25,150,1,0.5,8,1
Ericson15,50,1,0.25,150,1,0.75,4,2
Ericson15,50,1,0.25,150,1,1,4,2
Ericson15,50,1,0.5,150,1,0.75,7,1
Ericson15,50,1,0.5,150,1,1,10,3
Ericson15,50,1,0.5,150,1,1.25,3,2
Ericson15,100,1,0,101,1,0.25,5,5
Ericson15,100,1,0,101,1,0.5,4,4
Ericson15,100,1,0,101,1,0.75,7,7
Ericson15,100,1,0.25,101,1,0.5,3,3
Ericson15,100,1,0.25,101,1,0.75,9,8
Ericson15,100,1,0.25,101,1,1,3,3
Ericson15,100,1,0.5,101,1,0.75,5,5
Ericson15,100,1,0.5,101,1,1,8,8
Ericson15,100,1,0.5,101,1,1.25,6,6
Ericson15,100,1,0,105,1,0.25,5,4
Ericson15,100,1,0,105,1,0.5,5,5
Ericson15,100,1,0,105,1,0.75,8,8
Ericson15,100,1,0.25,105,1,0.5,8,7
Ericson15,100,1,0.25,105,1,0.75,4,4
Ericson15,100,1,0.25,105,1,1,7,7
Ericson15,100,1,0.5,105,1,0.75,3,3
Ericson15,100,1,0.5,105,1,1,3,3
Ericson15,100,1,0.5,105,1,1.25,2,2
Ericson15,100,1,0,110,1,0.25,6,6
Ericson15,100,1,0,110,1,0.5,4,4
Ericson15,100,1,0,110,1,0.75,4,4
Ericson15,100,1,0.25,110,1,0.5,5,5
Ericson15,100,1,0.25,110,1,0.75,6,4
Ericson15,100,1,0.25,110,1,1,7,7
Ericson15,100,1,0.5,110,1,0.75,8,7
Ericson15,100,1,0.5,110,1,1,4,3
Ericson15,100,1,0.5,110,1,1.25,4,4
Ericson15,100,1,0,150,1,0.25,11,9
Ericson15,100,1,0,150,1,0.5,11,5
Ericson15,100,1,0,150,1,0.75,7,5
Ericson15,100,1,0.25,150,1,0.5,4,3
Ericson15,100,1,0.25,150,1,0.75,7,6
Ericson15,100,1,0.25,150,1,1,7,5
Ericson15,100,1,0.5,150,1,0.75,7,3
Ericson15,100,1,0.5,150,1,1,7,5
Ericson15,100,1,0.5,150,1,1.25,7,6
Ericson15,100,1,0,200,1,0.25,5,1
Ericson15,100,1,0,200,1,0.5,2,1
Ericson15,100,1,0,200,1,0.75,6,3
