Exp,x1,p1,t1,x2,p2,t2,N,y
Ericson15,0.33,1,0.5,1.33,1,1,7,2
Ericson15,0.4,1,0.25,0.5,1,1,4,3
Ericson15,0.4,1,0.5,0.5,1,1,7,7
Ericson15,0.5,1,0.25,1,1,1,5,3
Ericson15,0.5,1,0.5,1,1,1,5,4
Ericson15,0.5,1,0.25,1.5,1,1,8,8
Ericson15,0.5,1,0.5,1.5,1,1,3,1
Ericson15,0.67,1,0.25,2.67,1,1,7,3
Ericson15,0.67,1,0.5,2.67,1,1,5,4
Ericson15,1,1,0.25,1.1,1,1,5,5
Ericson15,1,1,0.5,1.1,1,1,4,4
Ericson15,1,1,0.25,1.5,1,1,2,1
Ericson15,1,1,0.5,1.5,1,1,2,1
Ericson15,1,1,0.25,2,1,1,2,1
Ericson15,1,1,0.5,2,1,1,3,2
Ericson15,1,1,0.25,3,1,1,10,6
Ericson15,1,1,0.5,3,1,1,5,4
Ericson15,1.67,1,0.25,6.67,1,1,6,3
Ericson15,1.67,1,0.5,6.67,1,1,3,1
Ericson15,2,1,0.25,2.1,1,1,9,9
Ericson15,2,1,0.5,2.1,1,1,6,5
Ericson15,2,1,0.25,2.5,1,1,5,4
Ericson15,2,1,0.5,2.5,1,1,5,5
Ericson15,2,1,0.25,3,1,1,6,5
Ericson15,2,1,0.5,3,1,1,8,8
Ericson15,2,1,0.25,4,1,1,4,4
Ericson15,2,1,0.5,4,1,1,4,4
Ericson15,2.5,1,0.25,7.5,1,1,6,5
Ericson15,2.5,1,0.5,7.5,1,1,7,4
Ericson15,3.33,1,0.25,13.33,1,1,4,2
Ericson15,3.33,1,0.5,13.33,1,1,5,3
Ericson15,4,1,0.25,5,1,1,7,5
Ericson15,4,1,0.5,5,1,1,4,3
Ericson15,4,1,0.25,6,1,1,8,7
Ericson15,4,1,0.5,6,1,1,2,1
Ericson15,5,1,0.25,5.5,1,1,8,8
Ericson15,5,1,0.5,5.5,1,1,8,6
Ericson15,5,1,0.25,10,1,1,3,3
Ericson15,5,1,0.5,10,1,1,1,0
Ericson15,5,1,0.25,15,1,1,7,4
Ericson15,5,1,0.5,15,1,1,5,3
Ericson15,8,1,0.25,10,1,1,8,8
Ericson15,8,1,0.5,10,1,1,8,7
Ericson15,10,1,0.25,10.1,1,1,5,5
Ericson15,10,1,0.5,10.1,1,1,5,4
Ericson15,10,1,0.25,10.5,1,1,8,8
Ericson15,10,1,0.5,10.5,1,1,6,6
Ericson15,10,1,0.25,11,1,1,9,9
Ericson15,10,1,0.5,11,1,1,4,4
Ericson15,10,1,0.25,15,1,1,1,1
Ericson15,10,1,0.5,15,1,1,5,4
Ericson15,10,1,0.25,20,1,1,6,5
Ericson15,10,1,0.5,20,1,1,6,5
Ericson15,16.67,1,0.25,66.67,1,1,2,1
Ericson15,16.67,1,0.5,66.67,1,1,3,0
Ericson15,20,1,0.25,21,1,1,3,3
Ericson15,20,1,0.5,21,1,1,8,8
Ericson15,20,1,0.25,22,1,1,8,8
Ericson15,20,1,0.5,22,1,1,3,3
Ericson15,20,1,0.25,25,1,1,10,9
Ericson15,20,1,0.5,25,1,1,6,6
Ericson15,20,1,0.25,30,1,1,7,5
Ericson15,20,1,0.5,30,1,1,9,9
Ericson15,25,1,0.25,75,1,1,1,1
Ericson15,25,1,0.5,75,1,1,6,2
Ericson15,33.33,1,0.25,133.33,1,1,5,1
Ericson15,33.33,1,0.5,133.33,1,1,3,0
Ericson15,40,1,0.25,42,1,1,3,3
Ericson15,40,1,0.5,42,1,1,9,9
Ericson15,40,1,0.25,50,1,1,7,6
Ericson15,40,1,0.5,50,1,1,6,6
Ericson15,50,1,0.25,50.5,1,1,7,7
Ericson15,50,1,0.5,50.5,1,1,7,7
Ericson15,50,1,0.25,55,1,1,8,8
Ericson15,50,1,0.5,55,1,1,3,3
Ericson15,50,1,0.25,100,1,1,5,5
Ericson15,50,1,0.5,100,1,1,4,3
Ericson15,50,1,0.25,150,1,1,4,2
Ericson15,50,1,0.5,150,1,1,10,3
Ericson15,100,1,0.25,101,1,1,3,3
Ericson15,100,1,0.5,101,1,1,8,8
Ericson15,100,1,0.25,105,1,1,7,7
Ericson15,100,1,0.5,105,1,1,3,3
Ericson15,100,1,0.25,110,1,1,7,7
Ericson15,100,1,0.5,110,1,1,4,3
Ericson15,100,1,0.25,150,1,1,7,5
Ericson15,100,1,0.5,150,1,1,7,5
Ericson15,100,1,0.25,200,1,1,6,6
Ericson15,100,1,0.5,200,1,1,7,3
Ericson15,166.67,1,0.25,666.67,1,1,4,1
Ericson15,166.67,1,0.5,666.67,1,1,5,0
Ericson15,200,1,0.25,202,1,1,10,10
Ericson15,200,1,0.5,202,1,1,8,8
Ericson15,200,1,0.25,210,1,1,6,6
Ericson15,200,1,0.5,210,1,1,5,5
Ericson15,200,1,0.25,250,1,1,7,6
Ericson15,200,1,0.5,250,1,1,7,7
Ericson15,200,1,0.25,300,1,1,1,1
Ericson15,200,1,0.5,300,1,1,8,7
Ericson15,250,1,0.25,750,1,1,8,2
Ericson15,250,1,0.5,750,1,1,6,1
Ericson15,333.33,1,0.25,1333.33,1,1,7,1
Ericson15,333.33,1,0.5,1333.33,1,1,3,1
Ericson15,400,1,0.25,500,1,1,4,4
Ericson15,400,1,0.5,500,1,1,9,7
Ericson15,500,1,0.25,505,1,1,2,2
Ericson15,500,1,0.5,505,1,1,10,10
Ericson15,500,1,0.25,550,1,1,4,4
Ericson15,500,1,0.5,550,1,1,3,3
Ericson15,500,1,0.25,1000,1,1,6,4
Ericson15,500,1,0.5,1000,1,1,2,1
Ericson15,500,1,0.25,1500,1,1,4,3
Ericson15,500,1,0.5,1500,1,1,7,1
Ericson15,1000,1,0.25,1010,1,1,4,4
Ericson15,1000,1,0.5,1010,1,1,7,7
Ericson15,1000,1,0.25,1050,1,1,5,4
Ericson15,1000,1,0.5,1050,1,1,2,2
Ericson15,1000,1,0.25,1100,1,1,5,5
Ericson15,1000,1,0.5,1100,1,1,6,6
Ericson15,1000,1,0.25,1500,1,1,7,4
Ericson15,1000,1,0.5,1500,1,1,6,4
Ericson15,1000,1,0.25,2000,1,1,4,4
Ericson15,1000,1,0.5,2000,1,1,3,2
Ericson15,2000,1,0.25,2100,1,1,5,5
Ericson15,2000,1,0.5,2100,1,1,7,7
Ericson15,2000,1,0.25,2500,1,1,7,6
Ericson15,2000,1,0.5,2500,1,1,3,1
Ericson15,2000,1,0.25,3000,1,1,2,1
Ericson15,2000,1,0.5,3000,1,1,3,2
Ericson15,4000,1,0.25,5000,1,1,2,1
Ericson15,4000,1,0.5,5000,1,1,5,2
Ericson15,5000,1,0.25,5050,1,1,5,5
Ericson15,5000,1,0.5,5050,1,1,4,4
Ericson15,5000,1,0.25,5500,1,1,6,4
Ericson15,5000,1,0.5,5500,1,1,6,5
Ericson15,10000,1,0.25,10100,1,1,5,5
Ericson15,10000,1,0.5,10100,1,1,4,4
Ericson15,10000,1,0.25,10500,1,1,3,3
Ericson15,10000,1,0.5,10500,1,1,3,2
Ericson15,10000,1,0.25,11000,1,1,12,9
Ericson15,10000,1,0.5,11000,1,1,4,3
Ericson15,0.03,1,0.5,0.13,1,1.25,8,2
Ericson15,0.05,1,0.5,0.15,1,1.25,12,8
Ericson15,0.1,1,0.5,0.2,1,1.25,2,1
Ericson15,0.17,1,0.5,0.67,1,1.25,3,1
Ericson15,0.2,1,0.5,0.3,1,1.25,6,4
Ericson15,0.25,1,0.5,0.75,1,1.25,5,3
Ericson15,0.33,1,0.5,1.33,1,1.25,5,1
Ericson15,0.4,1,0.5,0.5,1,1.25,4,1
Ericson15,0.5,1,0.5,1,1,1.25,8,5
Ericson15,0.5,1,0.5,1.5,1,1.25,1,1
Ericson15,0.67,1,0.5,2.67,1,1.25,6,3
Ericson15,1,1,0.5,1.1,1,1.25,6,6
Ericson15,1,1,0.5,1.5,1,1.25,8,5
Ericson15,1,1,0.5,2,1,1.25,6,6
Ericson15,1,1,0.5,3,1,1.25,3,1
Ericson15,1.67,1,0.5,6.67,1,1.25,6,2
Ericson15,2,1,0.5,2.1,1,1.25,8,8
Ericson15,2,1,0.5,2.5,1,1.25,3,3
Ericson15,2,1,0.5,3,1,1.25,6,5
Ericson15,2,1,0.5,4,1,1.25,8,7
Ericson15,2.5,1,0.5,7.5,1,1.25,10,7
Ericson15,3.33,1,0.5,13.33,1,1.25,8,2
Ericson15,4,1,0.5,5,1,1.25,3,2
Ericson15,4,1,0.5,6,1,1.25,4,3
Ericson15,5,1,0.5,5.5,1,1.25,6,5
Ericson15,5,1,0.5,10,1,1.25,4,3
Ericson15,5,1,0.5,15,1,1.25,4,2
Ericson15,8,1,0.5,10,1,1.25,4,4
Ericson15,10,1,0.5,10.1,1,1.25,4,4
Ericson15,10,1,0.5,10.5,1,1.25,9,9
Ericson15,10,1,0.5,11,1,1.25,3,3
Ericson15,10,1,0.5,15,1,1.25,6,5
Ericson15,10,1,0.5,20,1,1.25,3,2
Ericson15,16.67,1,0.5,66.67,1,1.25,5,3
Ericson15,20,1,0.5,21,1,1.25,3,3
Ericson15,20,1,0.5,22,1,1.25,3,3
Ericson15,20,1,0.5,25,1,1.25,4,4
Ericson15,20,1,0.5,30,1,1.25,2,2
Ericson15,25,1,0.5,75,1,1.25,5,1
Ericson15,33.33,1,0.5,133.33,1,1.25,7,0
Ericson15,40,1,0.5,42,1,1.25,7,7
Ericson15,40,1,0.5,50,1,1.25,8,6
Ericson15,50,1,0.5,50.5,1,1.25,6,6
Ericson15,50,1,0.5,55,1,1.25,10,9
Ericson15,50,1,0.5,100,1,1.25,4,2
Ericson15,50,1,0.5,150,1,1.25,3,2
Ericson15,100,1,0.5,101,1,1.25,6,6
