Exp,x1,p1,t1,x2,p2,t2,N,y
Ericson15,2,1,0.25,4,1,1,4,4
Ericson15,2,1,0.5,4,1,0.75,4,2
Ericson15,2,1,0.5,4,1,1,4,4
Ericson15,2,1,0.5,4,1,1.25,8,7
Ericson15,2.5,1,0,7.5,1,0.25,4,3
Ericson15,2.5,1,0,7.5,1,0.5,5,0
Ericson15,2.5,1,0,7.5,1,0.75,7,3
Ericson15,2.5,1,0.25,7.5,1,0.5,13,2
Ericson15,2.5,1,0.25,7.5,1,0.75,3,3
Ericson15,2.5,1,0.25,7.5,1,1,6,5
Ericson15,2.5,1,0.5,7.5,1,0.75,6,1
Ericson15,2.5,1,0.5,7.5,1,1,7,4
Ericson15,2.5,1,0.5,7.5,1,1.25,10,7
Ericson15,3.33,1,0,13.33,1,0.25,6,4
Ericson15,3.33,1,0,13.33,1,0.5,6,3
Ericson15,3.33,1,0,13.33,1,0.75,9,4
Ericson15,3.33,1,0.25,13.33,1,0.5,7,1
Ericson15,3.33,1,0.25,13.33,1,0.75,6,1
Ericson15,3.33,1,0.25,13.33,1,1,4,2
Ericson15,3.33,1,0.5,13.33,1,0.75,6,1
Ericson15,3.33,1,0.5,13.33,1,1,5,3
Ericson15,3.33,1,0.5,13.33,1,1.25,8,2
Ericson15,4,1,0,5,1,0.25,3,2
Ericson15,4,1,0,5,1,0.5,7,7
Ericson15,4,1,0,5,1,0.75,7,7
Ericson15,4,1,0.25,5,1,0.5,4,2
Ericson15,4,1,0.25,5,1,0.75,9,6
Ericson15,4,1,0.25,5,1,1,7,5
Ericson15,4,1,0.5,5,1,0.75,7,5
Ericson15,4,1,0.5,5,1,1,4,3
Ericson15,4,1,0.5,5,1,1.25,3,2
Ericson15,4,1,0,6,1,0.25,4,2
Ericson15,4,1,0,6,1,0.5,5,5
Ericson15,4,1,0,6,1,0.75,2,2
Ericson15,4,1,0.25,6,1,0.5,3,3
Ericson15,4,1,0.25,6,1,0.75,6,3
Ericson15,4,1,0.25,6,1,1,8,7
Ericson15,4,1,0.5,6,1,0.75,5,4
Ericson15,4,1,0.5,6,1,1,2,1
Ericson15,4,1,0.5,6,1,1.25,4,3
