x1,p1,t1,x2,p2,t2,n,k,set
84,0.57,0,94,0.01,0,38,37,Erev
84,0.94,0,100,0.32,0,38,34,Erev
58,0.9,0,70,0.06,0,38,35,Erev
59,0.99,0,68,0.15,0,38,37,Erev
83,0.97,0,95,0.25,0,38,36,Erev
91,0.76,0,98,0.02,0,38,38,Erev
82,0.91,0,86,0.06,0,38,38,Erev
84,0.87,0,90,0.04,0,38,37,Erev
1.1,0.8,0,1.18,0.7,0,200,190,GW
4.69,0.25,0,8.88,0.15,0,200,112,GW
0.27,0.85,0,8.88,0.15,0,200,96,GW
0.27,0.85,0,4.69,0.25,0,200,84,GW
0.61,0.85,0,1.1,0.75,0,200,62,GW
0.79,0.3,0,7.4,0.2,0,200,22,GW
0.49,0.8,0,0.52,0.7,0,200,186,GW
2.08,0.25,0,3.95,0.15,0,200,144,GW
0.12,0.85,0,3.95,0.15,0,200,92,GW
0.12,0.85,0,2.08,0.25,0,200,82,GW
0.27,0.85,0,0.49,0.75,0,200,78,GW
0.35,0.3,0,3.29,0.2,0,200,16,GW
1,0.4,0,7,0.1,0,140,79,GW
3,0.4,0,9,0.1,0,140,114,GW
1,0.9,0,7,0.6,0,140,30,GW
3,0.9,0,9,0.6,0,140,24,GW
250,1,19,295,1,22,196,56.839999999999996,SR
100,1,19,118,1,22,196,117.6,SR
50,1,19,59,1,22,196,121.52,SR
25,1,19,29.5,1,22,196,133.28,SR
250,1,16,340,1,22,196,25.48,SR
100,1,16,136,1,22,196,74.48,SR
50,1,16,68,1,22,196,86.24,SR
25,1,16,34,1,22,196,92.11999999999999,SR
8250,1,12,10250,1,24,233,93,SR
6250,1,12,10250,1,36,233,122,SR
4250,1,12,10250,1,48,233,121,SR
0.03,1,0,0.13,1,0.25,10,7,Ericson
0.03,1,0,0.13,1,0.5,7,5,Ericson
0.03,1,0,0.13,1,0.75,5,5,Ericson
0.03,1,0.25,0.13,1,0.5,7,2,Ericson
0.03,1,0.25,0.13,1,0.75,7,4,Ericson
0.03,1,0.25,0.13,1,1,8,2,Ericson
0.03,1,0.5,0.13,1,0.75,6,2,Ericson
0.03,1,0.5,0.13,1,1,3,1,Ericson
0.03,1,0.5,0.13,1,1.25,8,2,Ericson
0.05,1,0,0.15,1,0.25,6,3,Ericson
0.05,1,0,0.15,1,0.5,9,5,Ericson
0.05,1,0,0.15,1,0.75,4,3,Ericson
0.05,1,0.25,0.15,1,0.5,7,3,Ericson
0.05,1,0.25,0.15,1,1,3,3,Ericson
0.05,1,0.5,0.15,1,0.75,6,2,Ericson
0.05,1,0.5,0.15,1,1,4,0,Ericson
0.05,1,0.5,0.15,1,1.25,12,8,Ericson
0.1,1,0,0.2,1,0.25,7,5,Ericson
0.1,1,0,0.2,1,0.5,4,2,Ericson
0.1,1,0,0.2,1,0.75,6,5,Ericson
0.1,1,0.25,0.2,1,0.5,3,1,Ericson
0.1,1,0.25,0.2,1,0.75,3,3,Ericson
0.1,1,0.25,0.2,1,1,7,5,Ericson
0.1,1,0.5,0.2,1,0.75,5,1,Ericson
0.1,1,0.5,0.2,1,1,5,2,Ericson
0.1,1,0.5,0.2,1,1.25,2,1,Ericson
0.17,1,0,0.67,1,0.25,5,3,Ericson
0.17,1,0,0.67,1,0.5,4,2,Ericson
0.17,1,0,0.67,1,0.75,7,5,Ericson
0.17,1,0.25,0.67,1,0.5,5,2,Ericson
0.17,1,0.25,0.67,1,0.75,6,3,Ericson
0.17,1,0.25,0.67,1,1,5,3,Ericson
0.17,1,0.5,0.67,1,0.75,8,2,Ericson
0.17,1,0.5,0.67,1,1,8,6,Ericson
0.17,1,0.5,0.67,1,1.25,3,1,Ericson
0.2,1,0,0.3,1,0.25,8,7,Ericson
0.2,1,0,0.3,1,0.5,8,8,Ericson
0.2,1,0,0.3,1,0.75,5,4,Ericson
0.2,1,0.25,0.3,1,0.5,7,5,Ericson
0.2,1,0.25,0.3,1,0.75,3,3,Ericson
0.2,1,0.25,0.3,1,1,8,3,Ericson
0.2,1,0.5,0.3,1,0.75,7,4,Ericson
0.2,1,0.5,0.3,1,1,3,2,Ericson
0.2,1,0.5,0.3,1,1.25,6,4,Ericson
0.25,1,0,0.75,1,0.25,9,3,Ericson
0.25,1,0,0.75,1,0.5,11,10,Ericson
0.25,1,0,0.75,1,0.75,4,1,Ericson
0.25,1,0.25,0.75,1,0.5,3,1,Ericson
0.25,1,0.25,0.75,1,0.75,4,1,Ericson
0.25,1,0.25,0.75,1,1,6,5,Ericson
0.25,1,0.5,0.75,1,0.75,4,2,Ericson
0.25,1,0.5,0.75,1,1,6,3,Ericson
0.25,1,0.5,0.75,1,1.25,5,3,Ericson
0.33,1,0,1.33,1,0.25,7,5,Ericson
0.33,1,0,1.33,1,0.5,6,4,Ericson
0.33,1,0,1.33,1,0.75,6,2,Ericson
0.33,1,0.25,1.33,1,0.5,4,0,Ericson
0.33,1,0.25,1.33,1,0.75,4,1,Ericson
0.33,1,0.25,1.33,1,1,4,2,Ericson
0.33,1,0.5,1.33,1,0.75,8,2,Ericson
0.33,1,0.5,1.33,1,1,7,2,Ericson
0.33,1,0.5,1.33,1,1.25,5,1,Ericson
0.4,1,0,0.5,1,0.25,5,3,Ericson
0.4,1,0,0.5,1,0.5,4,4,Ericson
0.4,1,0,0.5,1,0.75,6,5,Ericson
0.4,1,0.25,0.5,1,0.5,7,7,Ericson
0.4,1,0.25,0.5,1,0.75,4,3,Ericson
0.4,1,0.25,0.5,1,1,4,3,Ericson
0.4,1,0.5,0.5,1,0.75,5,2,Ericson
0.4,1,0.5,0.5,1,1,7,7,Ericson
0.4,1,0.5,0.5,1,1.25,4,1,Ericson
0.5,1,0,1,1,0.25,8,6,Ericson
0.5,1,0,1,1,0.5,7,6,Ericson
0.5,1,0,1,1,0.75,6,5,Ericson
0.5,1,0.25,1,1,0.5,5,3,Ericson
0.5,1,0.25,1,1,0.75,6,4,Ericson
0.5,1,0.25,1,1,1,5,3,Ericson
0.5,1,0.5,1,1,0.75,5,2,Ericson
0.5,1,0.5,1,1,1,5,4,Ericson
0.5,1,0.5,1,1,1.25,8,5,Ericson
0.5,1,0,1.5,1,0.25,8,5,Ericson
0.5,1,0,1.5,1,0.5,3,1,Ericson
0.5,1,0,1.5,1,0.75,2,2,Ericson
0.5,1,0.25,1.5,1,0.5,8,1,Ericson
0.5,1,0.25,1.5,1,0.75,5,5,Ericson
0.5,1,0.25,1.5,1,1,8,8,Ericson
0.5,1,0.5,1.5,1,0.75,5,0,Ericson
0.5,1,0.5,1.5,1,1,3,1,Ericson
0.5,1,0.5,1.5,1,1.25,1,1,Ericson
0.67,1,0,2.67,1,0.25,5,1,Ericson
0.67,1,0,2.67,1,0.5,6,3,Ericson
0.67,1,0,2.67,1,0.75,10,7,Ericson
0.67,1,0.25,2.67,1,0.5,4,2,Ericson
0.67,1,0.25,2.67,1,0.75,6,2,Ericson
0.67,1,0.25,2.67,1,1,7,3,Ericson
0.67,1,0.5,2.67,1,0.75,7,2,Ericson
0.67,1,0.5,2.67,1,1,5,4,Ericson
0.67,1,0.5,2.67,1,1.25,6,3,Ericson
1,1,0,1.1,1,0.25,3,3,Ericson
1,1,0,1.1,1,0.5,2,2,Ericson
1,1,0,1.1,1,0.75,2,2,Ericson
1,1,0.25,1.1,1,0.5,1,1,Ericson
1,1,0.25,1.1,1,0.75,9,7,Ericson
1,1,0.25,1.1,1,1,5,5,Ericson
1,1,0.5,1.1,1,0.75,2,2,Ericson
1,1,0.5,1.1,1,1,4,4,Ericson
1,1,0.5,1.1,1,1.25,6,6,Ericson
1,1,0,1.5,1,0.25,2,2,Ericson
1,1,0,1.5,1,0.5,8,7,Ericson
1,1,0,1.5,1,0.75,6,4,Ericson
1,1,0.25,1.5,1,0.5,1,1,Ericson
1,1,0.25,1.5,1,0.75,6,5,Ericson
