trial,choice,manipulation,num,mean,trial_sort
DvAR.5.Cert,DvAR,Cert,5,0.3,7
DvAR.6.Cert,DvAR,Cert,6,0.3,8
DvAR.10.Cert,DvAR,Cert,10,0.38333333333333336,9
DvAR.15.Cert,DvAR,Cert,15,0.4,10
DvAR.16.Cert,DvAR,Cert,16,0.4,11
DvAR.1.Cert,DvAR,Cert,1,0.43333333333333335,12
DvAR.2.Cert,DvAR,Cert,2,0.43333333333333335,13
DvAR.3.Cert,DvAR,Cert,3,0.4666666666666667,14
DvAR.8.Cert,DvAR,Cert,8,0.4666666666666667,15
DvAR.7.Cert,DvAR,Cert,7,0.6,16
DRvA.14.Cert,DRvA,Cert,14,0.21666666666666667,1
DRvA.12.Cert,DRvA,Cert,12,0.5333333333333333,2
DRvA.16.Cert,DRvA,Cert,16,0.5333333333333333,3
DRvA.4.Cert,DRvA,Cert,4,0.55,4
DRvA.5.Cert,DRvA,Cert,5,0.5833333333333334,5
DRvA.7.Cert,DRvA,Cert,7,0.5833333333333334,6
DRvA.3.Cert,DRvA,Cert,3,0.6,7
DRvA.11.Cert,DRvA,Cert,11,0.6166666666666667,8
DRvA.1.Cert,DRvA,Cert,1,0.6333333333333333,9
DRvA.8.Cert,DRvA,Cert,8,0.65,10
DRvA.13.Cert,DRvA,Cert,13,0.65,11
DRvA.15.Cert,DRvA,Cert,15,0.7,12
DRvA.2.Cert,DRvA,Cert,2,0.75,13
DRvA.6.Cert,DRvA,Cert,6,0.75,14
DRvA.9.Cert,DRvA,Cert,9,0.7833333333333333,15
DRvA.10.Cert,DRvA,Cert,10,0.8833333333333333,16
RvA.5.Imm,RvA,Imm,5,0.45,1
RvA.11.Imm,RvA,Imm,11,0.55,2
RvA.12.Imm,RvA,Imm,12,0.55,3
RvA.15.Imm,RvA,Imm,15,0.5666666666666667,4
RvA.1.Imm,RvA,Imm,1,0.5833333333333334,5
RvA.13.Imm,RvA,Imm,13,0.5833333333333334,6
RvA.4.Imm,RvA,Imm,4,0.6,7
RvA.6.Imm,RvA,Imm,6,0.6166666666666667,8
RvA.3.Imm,RvA,Imm,3,0.6333333333333333,9
RvA.7.Imm,RvA,Imm,7,0.6333333333333333,10
