"","p1","t1","x1","p2","t2","x2","trial","choice","manipulation","num"
"196",1,9,150,0.5,0,325,"RvAD.4.Base","RvAD","Base",4
"197",1,9,200,0.5,0,450,"RvAD.5.Base","RvAD","Base",5
"198",1,1,175,0.5,0,400,"RvAD.6.Base","RvAD","Base",6
"199",1,6,50,0.25,0,225,"RvAD.7.Base","RvAD","Base",7
"200",1,4,375,0.75,0,475,"RvAD.8.Base","RvAD","Base",8
"201",0.75,24,150,0.55,21,325,"RvAD.9.Base","RvAD","Base",9
"202",0.9,8,175,0.5,3,400,"RvAD.10.Base","RvAD","Base",10
"203",0.9,12,125,0.7,2,150,"RvAD.11.Base","RvAD","Base",11
"204",0.45,12,100,0.1,5,400,"RvAD.12.Base","RvAD","Base",12
"205",0.55,54,175,0.05,24,450,"RvAD.13.Base","RvAD","Base",13
"206",0.6,21,100,0.2,2,125,"RvAD.14.Base","RvAD","Base",14
"207",0.35,13,250,0.2,12,325,"RvAD.15.Base","RvAD","Base",15
"208",0.7,42,375,0.45,36,450,"RvAD.16.Base","RvAD","Base",16
"209",1,4,2250,0.7,0,4500,"RvAD.1.Mag","RvAD","Mag",1
"210",1,2,1750,0.55,0,4500,"RvAD.2.Mag","RvAD","Mag",2
"211",1,3,500,0.25,0,3250,"RvAD.3.Mag","RvAD","Mag",3
"212",1,9,1500,0.5,0,3250,"RvAD.4.Mag","RvAD","Mag",4
"213",1,9,2000,0.5,0,4500,"RvAD.5.Mag","RvAD","Mag",5
"214",1,1,1750,0.5,0,4000,"RvAD.6.Mag","RvAD","Mag",6
"215",1,6,500,0.25,0,2250,"RvAD.7.Mag","RvAD","Mag",7
"216",1,4,3750,0.75,0,4750,"RvAD.8.Mag","RvAD","Mag",8
"217",0.75,24,1500,0.55,21,3250,"RvAD.9.Mag","RvAD","Mag",9
"218",0.9,8,1750,0.5,3,4000,"RvAD.10.Mag","RvAD","Mag",10
"219",0.9,12,1250,0.7,2,1500,"RvAD.11.Mag","RvAD","Mag",11
"220",0.45,12,1000,0.1,5,4000,"RvAD.12.Mag","RvAD","Mag",12
"221",0.55,54,1750,0.05,24,4500,"RvAD.13.Mag","RvAD","Mag",13
"222",0.6,21,1000,0.2,2,1250,"RvAD.14.Mag","RvAD","Mag",14
"223",0.35,13,2500,0.2,12,3250,"RvAD.15.Mag","RvAD","Mag",15
"224",0.7,42,3750,0.45,36,4500,"RvAD.16.Mag","RvAD","Mag",16
"225",1,16,225,0.7,12,450,"RvAD.1.Imm","RvAD","Imm",1
"226",1,14,175,0.55,12,450,"RvAD.2.Imm","RvAD","Imm",2
"227",1,15,50,0.25,12,325,"RvAD.3.Imm","RvAD","Imm",3
"228",1,21,150,0.5,12,325,"RvAD.4.Imm","RvAD","Imm",4
"229",1,21,200,0.5,12,450,"RvAD.5.Imm","RvAD","Imm",5
"230",1,13,175,0.5,12,400,"RvAD.6.Imm","RvAD","Imm",6
"231",1,18,50,0.25,12,225,"RvAD.7.Imm","RvAD","Imm",7
"232",1,16,375,0.75,12,475,"RvAD.8.Imm","RvAD","Imm",8
"233",0.75,36,150,0.55,33,325,"RvAD.9.Imm","RvAD","Imm",9
"234",0.9,20,175,0.5,15,400,"RvAD.10.Imm","RvAD","Imm",10
"235",0.9,24,125,0.7,14,150,"RvAD.11.Imm","RvAD","Imm",11
"236",0.45,24,100,0.1,17,400,"RvAD.12.Imm","RvAD","Imm",12
"237",0.55,66,175,0.05,36,450,"RvAD.13.Imm","RvAD","Imm",13
"238",0.6,33,100,0.2,14,125,"RvAD.14.Imm","RvAD","Imm",14
"239",0.35,25,250,0.2,24,325,"RvAD.15.Imm","RvAD","Imm",15
"240",0.7,54,375,0.45,48,450,"RvAD.16.Imm","RvAD","Imm",16
"241",0.2,4,225,0.14,0,450,"RvAD.1.Cert","RvAD","Cert",1
"242",0.2,2,175,0.11,0,450,"RvAD.2.Cert","RvAD","Cert",2
"243",0.2,3,50,0.05,0,325,"RvAD.3.Cert","RvAD","Cert",3
"244",0.2,9,150,0.1,0,325,"RvAD.4.Cert","RvAD","Cert",4
"245",0.2,9,200,0.1,0,450,"RvAD.5.Cert","RvAD","Cert",5
"246",0.2,1,175,0.1,0,400,"RvAD.6.Cert","RvAD","Cert",6
"247",0.2,6,50,0.05,0,225,"RvAD.7.Cert","RvAD","Cert",7
"248",0.2,4,375,0.15,0,475,"RvAD.8.Cert","RvAD","Cert",8
"249",0.15,24,150,0.11,21,325,"RvAD.9.Cert","RvAD","Cert",9
"250",0.18,8,175,0.1,3,400,"RvAD.10.Cert","RvAD","Cert",10
"251",0.18,12,125,0.14,2,150,"RvAD.11.Cert","RvAD","Cert",11
"252",0.09,12,100,0.02,5,400,"RvAD.12.Cert","RvAD","Cert",12
"253",0.11,54,175,0.01,24,450,"RvAD.13.Cert","RvAD","Cert",13
"254",0.12,21,100,0.04,2,125,"RvAD.14.Cert","RvAD","Cert",14
"255",0.07,13,250,0.04,12,325,"RvAD.15.Cert","RvAD","Cert",15
"256",0.14,42,375,0.09,36,450,"RvAD.16.Cert","RvAD","Cert",16
"257",0.85,0,275,1,12,325,"DvAR.1.Base","DvAR","Base",1
"258",0.95,0,225,1,15,450,"DvAR.2.Base","DvAR","Base",2
"259",0.75,0,175,1,21,250,"DvAR.3.Base","DvAR","Base",3
"260",0.9,0,75,1,4,150,"DvAR.4.Base","DvAR","Base",4
"261",0.75,0,375,1,15,475,"DvAR.5.Base","DvAR","Base",5
"262",0.95,0,300,1,2,450,"DvAR.6.Base","DvAR","Base",6
"263",0.95,0,75,1,24,125,"DvAR.7.Base","DvAR","Base",7
"264",0.8,0,425,1,13,450,"DvAR.8.Base","DvAR","Base",8
"265",0.5,1,325,0.6,2,425,"DvAR.9.Base","DvAR","Base",9
"266",0.2,5,425,0.65,24,450,"DvAR.10.Base","DvAR","Base",10
"267",0.2,12,225,0.5,30,250,"DvAR.11.Base","DvAR","Base",11
"268",0.4,30,50,0.5,54,275,"DvAR.12.Base","DvAR","Base",12
"269",0.7,13,125,0.75,15,150,"DvAR.13.Base","DvAR","Base",13
"270",0.35,5,100,0.5,30,475,"DvAR.14.Base","DvAR","Base",14
"271",0.2,1,425,0.4,15,450,"DvAR.15.Base","DvAR","Base",15
"272",0.4,5,150,0.45,36,350,"DvAR.16.Base","DvAR","Base",16
"273",0.85,0,2750,1,12,3250,"DvAR.1.Mag","DvAR","Mag",1
"274",0.95,0,2250,1,15,4500,"DvAR.2.Mag","DvAR","Mag",2
"275",0.75,0,1750,1,21,2500,"DvAR.3.Mag","DvAR","Mag",3
"276",0.9,0,750,1,4,1500,"DvAR.4.Mag","DvAR","Mag",4
"277",0.75,0,3750,1,15,4750,"DvAR.5.Mag","DvAR","Mag",5
"278",0.95,0,3000,1,2,4500,"DvAR.6.Mag","DvAR","Mag",6
"279",0.95,0,750,1,24,1250,"DvAR.7.Mag","DvAR","Mag",7
"280",0.8,0,4250,1,13,4500,"DvAR.8.Mag","DvAR","Mag",8
"281",0.5,1,3250,0.6,2,4250,"DvAR.9.Mag","DvAR","Mag",9
"282",0.2,5,4250,0.65,24,4500,"DvAR.10.Mag","DvAR","Mag",10
"283",0.2,12,2250,0.5,30,2500,"DvAR.11.Mag","DvAR","Mag",11
"284",0.4,30,500,0.5,54,2750,"DvAR.12.Mag","DvAR","Mag",12
"285",0.7,13,1250,0.75,15,1500,"DvAR.13.Mag","DvAR","Mag",13
"286",0.35,5,1000,0.5,30,4750,"DvAR.14.Mag","DvAR","Mag",14
"287",0.2,1,4250,0.4,15,4500,"DvAR.15.Mag","DvAR","Mag",15
"288",0.4,5,1500,0.45,36,3500,"DvAR.16.Mag","DvAR","Mag",16
"289",0.85,12,275,1,24,325,"DvAR.1.Imm","DvAR","Imm",1
"290",0.95,12,225,1,27,450,"DvAR.2.Imm","DvAR","Imm",2
"291",0.75,12,175,1,33,250,"DvAR.3.Imm","DvAR","Imm",3
"292",0.9,12,75,1,16,150,"DvAR.4.Imm","DvAR","Imm",4
"293",0.75,12,375,1,27,475,"DvAR.5.Imm","DvAR","Imm",5
"294",0.95,12,300,1,14,450,"DvAR.6.Imm","DvAR","Imm",6
"295",0.95,12,75,1,36,125,"DvAR.7.Imm","DvAR","Imm",7
"296",0.8,12,425,1,25,450,"DvAR.8.Imm","DvAR","Imm",8
"297",0.5,13,325,0.6,14,425,"DvAR.9.Imm","DvAR","Imm",9
"298",0.2,17,425,0.65,36,450,"DvAR.10.Imm","DvAR","Imm",10
"299",0.2,24,225,0.5,42,250,"DvAR.11.Imm","DvAR","Imm",11
"300",0.4,42,50,0.5,66,275,"DvAR.12.Imm","DvAR","Imm",12
"301",0.7,25,125,0.75,27,150,"DvAR.13.Imm","DvAR","Imm",13
"302",0.35,17,100,0.5,42,475,"DvAR.14.Imm","DvAR","Imm",14
"303",0.2,13,425,0.4,27,450,"DvAR.15.Imm","DvAR","Imm",15
"304",0.4,17,150,0.45,48,350,"DvAR.16.Imm","DvAR","Imm",16
"305",0.17,0,275,0.2,12,325,"DvAR.1.Cert","DvAR","Cert",1
"306",0.19,0,225,0.2,15,450,"DvAR.2.Cert","DvAR","Cert",2
"307",0.15,0,175,0.2,21,250,"DvAR.3.Cert","DvAR","Cert",3
"308",0.18,0,75,0.2,4,150,"DvAR.4.Cert","DvAR","Cert",4
"309",0.15,0,375,0.2,15,475,"DvAR.5.Cert","DvAR","Cert",5
"310",0.19,0,300,0.2,2,450,"DvAR.6.Cert","DvAR","Cert",6
"311",0.19,0,75,0.2,24,125,"DvAR.7.Cert","DvAR","Cert",7
"312",0.16,0,425,0.2,13,450,"DvAR.8.Cert","DvAR","Cert",8
"313",0.1,1,325,0.12,2,425,"DvAR.9.Cert","DvAR","Cert",9
"314",0.04,5,425,0.13,24,450,"DvAR.10.Cert","DvAR","Cert",10
"315",0.04,12,225,0.1,30,250,"DvAR.11.Cert","DvAR","Cert",11
"316",0.08,30,50,0.1,54,275,"DvAR.12.Cert","DvAR","Cert",12
"317",0.14,13,125,0.15,15,150,"DvAR.13.Cert","DvAR","Cert",13
"318",0.07,5,100,0.1,30,475,"DvAR.14.Cert","DvAR","Cert",14
"319",0.04,1,425,0.08,15,450,"DvAR.15.Cert","DvAR","Cert",15
"320",0.08,5,150,0.09,36,350,"DvAR.16.Cert","DvAR","Cert",16
"321",1,0,175,0.8,5,300,"DRvA.1.Base","DRvA","Base",1
"322",1,0,50,0.45,21,225,"DRvA.2.Base","DRvA","Base",2
"323",1,0,125,0.9,21,375,"DRvA.3.Base","DRvA","Base",3
"324",1,0,275,0.95,4,475,"DRvA.4.Base","DRvA","Base",4
"325",1,0,175,0.75,2,375,"DRvA.5.Base","DRvA","Base",5
"326",1,0,50,0.85,3,75,"DRvA.6.Base","DRvA","Base",6
