Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,CG16_E2,1440,1,20,1800,1,40,28,11
Choice,CG16_E2,1412,1,12,1620,1,21,28,11
Choice,CG16_E2,798,1,11,1260,1,33,28,13
Choice,CG16_E2,1725,1,40,1980,1,70,28,18
Choice,CG16_E2,945,1,4,1350,1,10,28,25
Choice,CG16_E2,1068,1,7,1500,1,17,28,5
Choice,CG16_E2,1863,1,28,2550,1,65,28,12
Choice,CG16_E2,684,1,30,1080,1,90,28,16
Choice,CG16_E2,1023,1,23,1440,1,56,28,18
Choice,CG16_E2,1485,1,10,2970,1,50,28,10
Choice,CG16_E2,413,1,4,750,1,16,28,11
Choice,CG16_E2,1516,1,40,1740,1,70,28,22
Choice,CG16_E2,75,1,5,300,1,20,28,6
Choice,CG16_E2,281,1,25,450,1,40,28,14
Choice,CG16_E2,350,1,70,400,1,80,28,12
Choice,CG16_E2,267,1,40,600,1,90,28,13
Choice,CG16_E2,315,1,28,900,1,80,28,12
Choice,CG16_E2,156,1,33,260,1,55,28,16
Choice,CG16_E2,215,1,45,330,1,69,28,19
Choice,CG16_E2,301,1,14,430,1,20,28,7
Choice,CG16_E2,90,1,10,450,1,50,28,8
Choice,CG16_E2,72,1,1,650,1,9,28,5
Choice,CG16_E2,533,1,56,800,1,84,28,17
Choice,CG16_E2,293,1,68,410,1,95,28,14
Choice,CG16_E2,411,1,20,780,1,38,28,8
Choice,CG16_E2,320,1,25,640,1,50,28,13
Choice,CG16_E2,104,1,30,250,1,72,28,18
Choice,CG16_E2,225,1,5,900,1,20,28,1
Choice,CG16_E2,844,1,25,1350,1,40,28,4
Choice,CG16_E2,1050,1,70,1200,1,80,28,9
Choice,CG16_E2,800,1,40,1800,1,90,28,7
Choice,CG16_E2,945,1,28,2700,1,80,28,10
Choice,CG16_E2,468,1,33,780,1,55,28,16
Choice,CG16_E2,646,1,45,990,1,69,28,12
Choice,CG16_E2,903,1,14,1290,1,20,28,5
Choice,CG16_E2,270,1,10,1350,1,50,28,5
Choice,CG16_E2,217,1,1,1950,1,9,28,2
Choice,CG16_E2,1600,1,56,2400,1,84,28,13
Choice,CG16_E2,880,1,68,1230,1,95,28,15
Choice,CG16_E2,1232,1,20,2340,1,38,28,5
Choice,CG16_E2,960,1,25,1920,1,50,28,3
Choice,CG16_E2,313,1,30,750,1,72,28,13
Choice,CG16_E2,315,1,30,700,1,40,28,4
Choice,CG16_E2,195,1,50,600,1,80,28,7
Choice,CG16_E2,20,1,7,400,1,20,28,2
Choice,CG16_E2,83,1,14,550,1,31,28,3
Choice,CG16_E2,147,1,40,400,1,60,28,5
Choice,CG16_E2,15,1,8,150,1,20,28,0
Choice,CG16_E2,219,1,35,650,1,55,28,7
Choice,CG16_E2,69,1,40,480,1,90,28,7
Choice,CG16_E2,243,1,21,540,1,28,28,5
Choice,CG16_E2,198,1,41,600,1,65,28,3
Choice,CG16_E2,312,1,28,850,1,42,28,6
Choice,CG16_E2,164,1,18,670,1,33,28,5
Choice,CG16_E2,225,1,64,460,1,81,28,13
Choice,CG16_E2,47,1,7,530,1,18,28,1
Choice,CG16_E2,40,1,15,280,1,34,28,4
Choice,CG16_E2,945,1,30,2100,1,40,28,3
Choice,CG16_E2,585,1,50,1800,1,80,28,3
Choice,CG16_E2,60,1,7,1200,1,20,28,0
Choice,CG16_E2,250,1,14,1650,1,31,28,0
Choice,CG16_E2,440,1,40,1200,1,60,28,0
Choice,CG16_E2,45,1,8,450,1,20,28,0
