V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
64,60,71,69,63,55,58,64,54,65,60,75,60,73,51,67,59,66,55,65,62,54,54,57,64,51,59,55,46,51,48,43,31,51,51,47,15,58,51,26,17,34,24,28,18,18,37,35,64,72,82,67,63,77,80,76,47,69,53,71,86,80,69,53,50,59,55,28,36,32,68,52,22,16,35,35,45,28,27,42,72,80,68,60,63,61,62,74,65,80,59,60,82,47,61,75
60,61,67,70,61,61,56,67,61,63,54,76,56,77,58,62,54,65,55,61,63,65,57,59,68,38,52,61,52,42,56,48,43,46,49,63,18,46,44,26,24,36,24,26,16,21,45,29,60,68,81,74,67,74,86,66,48,67,53,84,85,81,73,62,49,62,45,32,37,34,72,46,30,20,32,35,41,33,31,44,71,78,69,55,69,68,77,74,77,79,58,47,88,45,61,66
68,60,57,66,61,62,60,56,58,67,55,70,58,69,64,57,59,63,47,61,63,58,50,57,63,45,53,62,46,50,55,42,34,45,45,58,16,65,50,21,22,34,24,23,29,18,46,45,55,72,81,70,63,75,78,70,45,66,59,69,78,74,62,70,50,56,38,30,43,29,71,51,29,26,29,40,41,28,21,38,66,74,68,63,70,70,70,79,75,79,66,52,80,41,65,63
65,70,68,65,58,56,55,66,58,72,49,74,60,77,61,61,54,60,44,59,67,58,51,56,66,46,46,64,48,58,34,49,34,51,54,59,16,62,44,26,18,34,22,25,24,16,51,33,72,79,82,74,75,78,75,76,47,68,43,68,83,74,69,61,59,70,47,22,35,33,73,48,30,22,29,35,36,30,16,46,71,78,70,61,78,73,75,76,76,79,64,57,84,38,64,64
66,58,78,67,62,46,53,67,69,55,43,64,55,75,58,65,59,70,56,56,69,57,60,57,73,47,55,72,52,50,54,55,31,48,39,61,14,62,55,31,21,26,27,19,16,20,45,43,62,76,81,70,72,80,76,70,51,63,54,70,82,76,57,60,51,61,51,28,44,42,69,51,35,23,25,31,40,28,26,51,71,78,66,61,69,66,72,78,66,73,56,49,80,40,66,66
60,66,66,62,53,54,51,59,55,59,48,69,44,79,58,60,55,65,45,61,61,61,51,55,55,47,46,51,40,50,48,41,32,48,39,60,12,65,59,25,20,39,30,21,17,26,46,35,62,68,79,70,62,72,80,71,40,67,49,77,78,78,63,63,48,54,43,31,47,31,63,47,28,14,27,29,41,21,31,46,68,73,62,56,64,61,63,75,74,74,51,54,77,42,69,60
59,74,75,64,62,54,61,74,60,65,37,75,68,81,54,65,66,67,43,61,68,65,56,56,66,39,50,58,43,50,47,34,35,62,53,56,9,71,49,19,15,35,22,22,25,19,45,39,67,78,77,73,73,79,80,69,41,66,53,68,86,79,70,63,51,64,40,24,37,34,68,41,33,16,17,30,41,32,26,39,68,74,68,56,65,66,74,77,79,89,66,60,92,44,70,66
64,63,78,72,63,65,50,77,60,64,50,58,51,78,63,57,56,65,49,61,61,66,60,62,69,50,59,52,51,46,40,50,40,57,43,65,12,59,51,19,20,35,24,23,20,18,54,37,68,72,83,73,73,82,78,71,49,68,46,73,81,81,68,64,56,57,42,31,40,32,70,43,29,22,27,35,39,25,33,43,76,80,64,60,68,71,71,77,73,83,63,54,84,43,60,65
62,63,73,64,58,54,52,69,71,65,51,61,58,77,56,60,70,68,51,63,69,62,54,65,67,56,51,64,47,51,42,51,44,50,48,61,18,55,44,25,23,35,23,27,21,22,40,41,69,75,84,72,66,80,79,71,59,69,51,79,80,75,66,64,54,61,52,35,34,30,73,56,37,18,32,42,43,34,27,44,74,81,67,61,70,72,70,80,69,80,65,49,89,50,65,72
61,57,71,59,63,53,52,63,57,52,46,73,52,72,57,73,65,67,50,64,69,53,54,55,61,43,55,60,45,45,50,50,47,47,40,59,19,64,50,22,13,27,25,26,18,28,49,37,59,70,73,70,71,80,83,68,55,66,45,75,80,81,68,64,47,66,40,27,42,34,71,45,21,21,31,38,41,28,33,50,82,80,70,64,66,73,69,72,71,73,63,58,81,48,62,68
55,63,61,67,63,46,58,72,52,66,56,65,55,75,58,58,62,64,41,57,66,62,50,51,65,42,50,59,43,46,47,41,36,55,52,55,11,50,52,31,19,36,25,23,26,24,45,43,61,74,74,74,71,71,85,76,42,67,57,79,77,72,66,64,48,64,47,24,43,31,69,52,36,13,27,31,38,28,20,43,68,76,64,56,65,64,64,72,78,84,55,55,83,47,61,71
63,60,63,66,60,48,59,61,64,56,53,72,52,76,55,62,59,71,46,63,62,65,47,57,62,47,57,59,46,47,43,52,45,49,45,60,19,70,48,16,22,32,16,26,19,19,44,38,62,72,77,77,71,81,79,74,47,61,47,79,75,74,71,60,54,60,45,28,47,20,72,48,41,20,29,27,39,36,26,38,69,74,64,64,67,68,75,74,74,76,53,54,82,42,63,66
66,63,68,63,58,56,52,70,50,60,46,77,46,78,55,58,63,60,48,57,57,52,55,52,56,40,50,55,45,53,45,49,38,45,57,54,20,65,52,24,21,32,21,19,21,21,50,33,60,73,77,69,71,73,80,69,51,63,51,76,85,80,70,60,53,57,47,30,39,31,64,53,27,19,18,30,32,28,31,42,68,67,69,55,61,62,65,69,74,81,52,51,85,45,66,61
60,60,69,54,63,55,51,63,55,53,47,70,58,73,57,70,58,56,55,66,66,54,46,62,71,44,60,57,42,50,54,45,43,50,44,60,18,62,47,24,19,43,24,22,21,15,45,35,66,69,76,64,65,74,76,67,52,61,49,68,82,76,66,60,49,57,48,34,40,36,64,53,38,18,28,37,46,33,24,41,69,73,62,56,64,65,67,76,67,77,65,55,83,44,61,72
63,66,75,64,64,52,59,69,55,64,42,67,56,72,56,66,59,62,49,56,60,53,48,52,66,44,45,58,50,40,49,40,37,44,46,51,16,57,46,21,20,42,23,22,19,16,36,45,63,73,78,67,74,77,84,74,42,67,54,81,84,81,75,69,58,57,50,24,36,31,67,45,29,22,26,31,43,21,24,44,67,79,62,55,70,61,70,79,71,84,57,50,88,38,64,72
